,eval_loss,eval_f1,eval_acc,eval_f0_5,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6137426495552063,0.3828810363204066,0.7639402872734116,0.46491717107359026,0.9552,82.706,10.469,1.0,133,,,,,,,
1,0.5901012420654297,0.4323000094224065,0.8110455999498213,0.48750425025501526,0.9505,83.116,10.521,2.0,266,,,,,,,
2,0.5612651109695435,0.4519447703275878,0.8095402370946497,0.5217536256042673,0.9457,83.535,10.574,3.0,399,,,,,,,
3,,,,,,,,3.76,500,0.5971,4.49624060150376e-05,,,,,
4,0.5674031376838684,0.4712564881010675,0.8306780405193502,0.5201937213525901,0.9428,83.791,10.606,4.0,532,,,,,,,
5,0.586649477481842,0.48383597309611626,0.8507809069811202,0.5037726471784214,0.9459,83.514,10.571,5.0,665,,,,,,,
6,0.5544540882110596,0.48808104886769965,0.838361663425955,0.5345255188617675,0.9516,83.021,10.509,6.0,798,,,,,,,
7,0.5511453151702881,0.49310657139981884,0.8420309853854356,0.5360581130754419,0.9459,83.515,10.571,7.0,931,,,,,,,
8,,,,,,,,7.52,1000,0.5254,2.9924812030075187e-05,,,,,
9,0.5718449950218201,0.5014477211796248,0.8541993351314057,0.5256294964028776,0.9384,84.187,10.657,8.0,1064,,,,,,,
10,0.5408402681350708,0.5012461369753763,0.8430972840745155,0.5478078968011855,0.9527,82.925,10.497,9.0,1197,,,,,,,
11,0.5701808929443359,0.5098551671567025,0.8588408706015179,0.5296859444293601,0.9347,84.521,10.699,10.0,1330,,,,,,,
12,0.5362482070922852,0.5049063336306868,0.8433481778837107,0.5535993740219093,0.9434,83.737,10.6,11.0,1463,,,,,,,
13,,,,,,,,11.28,1500,0.5079,1.4887218045112781e-05,,,,,
14,0.5572482943534851,0.5137400530503979,0.8562692090572666,0.5418531781557744,0.9422,83.85,10.614,12.0,1596,,,,,,,
15,0.5376298427581787,0.5078413744880631,0.8454807752618704,0.5543923929163396,0.9326,84.713,10.723,13.0,1729,,,,,,,
16,0.538456916809082,0.5080863887493722,0.8464216270463526,0.5529077393965894,0.9475,83.374,10.554,14.0,1862,,,,,,,
17,0.5381929278373718,0.5083793276467636,0.8463589035940539,0.5535402097902098,0.9459,83.516,10.572,15.0,1995,,,,,,,
18,,,,,,,,15.0,1995,,,359.6836,44.08,5.547,4021564378245120.0,0.5329173764489349
19,0.5714260339736938,0.5080147965474723,0.8316411297766292,0.5476174652754702,1.1709,82.84,11.102,15.0,1995,,,,,,,
