,eval_loss,eval_rmse,eval_pearson,eval_spearman,eval_kappa,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.7565958499908447,34.36015319824219,0.6465888269141628,0.6587128701647907,0.04336168095176762,1.4808,53.349,3.376,1.0,67,,,,,,,
1,2.7550790309906006,42.30659866333008,0.730164484979791,0.737547311289462,0.05476711383913757,1.4697,53.751,3.402,2.0,134,,,,,,,
2,2.755084276199341,22.806560516357422,0.7289347613940855,0.7539803044753459,0.07161729992291399,1.4699,53.744,3.402,3.0,201,,,,,,,
3,2.7551987171173096,22.84648895263672,0.7139393935654559,0.7493594522470088,0.0643568015273972,1.4808,53.349,3.377,4.0,268,,,,,,,
4,2.7549195289611816,22.945449829101562,0.7384111925131037,0.767266401983788,0.06947062551198613,1.4682,53.807,3.405,5.0,335,,,,,,,
5,2.7544498443603516,19.716022491455078,0.7539313340967632,0.7750706381359626,0.09143154987544677,1.4734,53.616,3.393,6.0,402,,,,,,,
6,2.7539753913879395,18.45212745666504,0.7414603058055946,0.7685588870467924,0.09630780913721892,1.4831,53.267,3.371,7.0,469,,,,,,,
7,,,,,,,,,7.46,500,2.7281,3.0049751243781097e-05,,,,,
8,2.752237558364868,9.00702953338623,0.7455669514198403,0.7733330773205453,0.29762198957584474,1.4817,53.319,3.375,8.0,536,,,,,,,
9,2.747516393661499,5.208318710327148,0.7381816938761422,0.7674264651461562,0.5836629898811116,1.4717,53.681,3.398,9.0,603,,,,,,,
10,2.7354204654693604,4.13383674621582,0.7436089103497158,0.7747120025345868,0.7225533791723306,1.4702,53.736,3.401,10.0,670,,,,,,,
11,2.703000545501709,4.1870808601379395,0.7439009321382785,0.7768225979054926,0.7129111628248128,1.471,53.707,3.399,11.0,737,,,,,,,
12,2.6197688579559326,4.020516872406006,0.7398795502476506,0.7784008239873117,0.7345007517467056,1.4838,53.242,3.37,12.0,804,,,,,,,
13,2.420008897781372,3.8876631259918213,0.7418851695276993,0.7702392819783114,0.7469632262684125,1.4761,53.518,3.387,13.0,871,,,,,,,
14,2.0096471309661865,4.079898357391357,0.7487900929843883,0.7721001519502542,0.6849265883562199,1.4785,53.432,3.382,14.0,938,,,,,,,
15,,,,,,,,,14.93,1000,2.4836,2.009950248756219e-05,,,,,
16,1.3925385475158691,6.899825572967529,0.735150224283844,0.7638119280408829,0.4244559782867483,1.5025,52.58,3.328,15.0,1005,,,,,,,
17,0.7625522017478943,5.7080888748168945,0.7089488085675448,0.7408750783458472,0.5280320071897071,1.481,53.342,3.376,16.0,1072,,,,,,,
18,0.3459375500679016,4.236669540405273,0.751585111565983,0.7840203177037341,0.7133539839908853,1.4748,53.568,3.39,17.0,1139,,,,,,,
19,0.1449413299560547,4.01106071472168,0.7459131963450771,0.7754159704981709,0.7268993117709326,1.4888,53.061,3.358,18.0,1206,,,,,,,
20,0.061930619180202484,3.973010301589966,0.7410731903055647,0.775585212232614,0.7305997773992696,1.4736,53.612,3.393,19.0,1273,,,,,,,
21,0.03086583875119686,4.282729625701904,0.7356613880497258,0.7641661779569489,0.6854359697145377,1.4754,53.545,3.389,20.0,1340,,,,,,,
22,0.016765570268034935,3.8925440311431885,0.736730050200964,0.770928038866293,0.7262223335648754,1.4724,53.654,3.396,21.0,1407,,,,,,,
23,0.01338866725564003,4.1169610023498535,0.7399320339995846,0.7741648683335054,0.7040728231618112,1.4776,53.464,3.384,22.0,1474,,,,,,,
24,,,,,,,,,22.39,1500,0.2714,1.0149253731343284e-05,,,,,
25,0.011468217708170414,4.076794624328613,0.7388750627268359,0.7672143718941606,0.7090412939369295,1.474,53.596,3.392,23.0,1541,,,,,,,
26,0.010191158391535282,3.987321615219116,0.7371542413495341,0.7734369687656899,0.7139404980577554,1.4826,53.286,3.373,24.0,1608,,,,,,,
27,0.010517286136746407,4.0346598625183105,0.7425517873128132,0.7763711300958209,0.716911339729511,1.4757,53.535,3.388,25.0,1675,,,,,,,
28,0.010326733812689781,4.075241565704346,0.7391356882657323,0.7700705038074155,0.7128688126588787,1.4778,53.459,3.384,26.0,1742,,,,,,,
29,0.011084224097430706,4.185568809509277,0.7396766759084131,0.7692751889488422,0.7106052531914966,1.4806,53.355,3.377,27.0,1809,,,,,,,
30,0.011318462900817394,4.275333881378174,0.731532192836716,0.7646645557487158,0.690640519197043,1.4784,53.436,3.382,28.0,1876,,,,,,,
31,0.010609912686049938,4.095381736755371,0.7422893215205054,0.7676656495748905,0.7121912953140845,1.4766,53.501,3.386,29.0,1943,,,,,,,
32,,,,,,,,,29.85,2000,0.0008,1.9900497512437812e-07,,,,,
33,0.010530083440244198,4.079898357391357,0.7414356917487055,0.7665836433318134,0.7162613357488177,1.4834,53.256,3.371,30.0,2010,,,,,,,
34,,,,,,,,,30.0,2010,,,1768.9917,17.925,1.136,8343176654776320.0,1.364141522104787
35,0.008646494708955288,3.697310209274292,0.8001094761911167,0.797774357041689,0.7519608379796526,1.8122,53.527,3.863,30.0,2010,,,,,,,
